"","Name","Party","RepParty","Begin","End","N_Years","Organization","Position","Econ_Sector","ThreeMore_Econ_Sector","Course_University","Place_University","Privatized_Company","Gender","MajorEconGroup","PPP","Angola","PSI20","Government","BusinessConnected"
"29","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","ISCTE","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"30","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","Instituto de Estudos Sociais","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"31","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","IEFP","Presidente da Comissão Executiva",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"32","Acácio Ferreira Catarino","Independent","N.a.","1996","1998","2","Instituto Superior de Serviço Social de Lisboa","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"33","Acácio Ferreira Catarino","Independent","N.a.","1998","2000","2","Universidade Católica Portuguesa","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"34","Acácio Ferreira Catarino","Independent","N.a.","2000","2006","6","Conselho Nacional para a Promoção do Voluntariado","Presidente",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"35","Acácio Ferreira Catarino","Independent","N.a.","2001","2006","5","Casa Civil do Presidente da República","Consultor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"36","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","Companhia Seguros Sagres","Presidente do Conselho Superior",2,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"37","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","Cáritas Portuguesa","Presidente",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"38","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","Comissão Nacional Justiça e Paz","ND",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"39","Acácio Ferreira Catarino","Independent","N.a.","N.d.","N.d.","N.a.","Santa Casa da Misericórdia de Benedita","Presidente da AG",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"40","Adolfo Mesquita Nunes","CDS","N.a.","N.d.","N.d.","N.a.","Universidade Católica Portuguesa","licenciatura em Direito",0,0,"Direito","Lisboa",0,"M","No",0,0,"No","No",1
"41","Adolfo Mesquita Nunes","CDS","N.a.","2002","2003","1","CM Lisboa","assessor do vereador",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"42","Adolfo Mesquita Nunes","CDS","N.a.","2003","2004","1","Secretária de Estado da Segurança Social","assessor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"43","Adolfo Mesquita Nunes","CDS","N.a.","2004","2005","1","Ministro do Ambiente e do Ordenamento do Território","chefe de gabinete",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"44","Adolfo Mesquita Nunes","CDS","N.a.","2005","2011","6","Morais Leitão, Galvão Teles, Soares da Silva & Associados","advogado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"45","Adolfo Mesquita Nunes","CDS","N.a.","2011","2013","2","Assembleia República","deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"46","Adolfo Mesquita Nunes","CDS","PSD/CDS","2013","2014","1","Governo","Secretário de Estado do Turismo",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","XIX",1
"47","Agostinho Silva Abade","Independent","N.a.","N.d.","N.d.","N.a.","Instituto Superior de Ciências Económicas e Financeiras","Estudante",0,0,"Finanças","Lisboa",0,"M","No",0,0,"No","No",1
"48","Agostinho Silva Abade","Independent","N.a.","1975","N.d.","N.a.","Eminco - Empreendimentos Industriais e Comerciais, S.A.","Director Financeiro",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"49","Agostinho Silva Abade","Independent","N.a.","1979","1980","1","Sporting Clube de Portugal","Comissão de Gestão",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"50","Agostinho Silva Abade","Independent","N.a.","1982","1986","4","Sporting Clube de Portugal","Vice-Presidente da Direcção",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"51","Agostinho Silva Abade","Independent","Central Block","1984","1985","1","Governo","Secretário de Estado do Comércio Interno",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","IX",1
"52","Agostinho Silva Abade","Independent","N.a.","1996","1999","3","Sporting Clube de Portugal","Direcção",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"53","Agostinho Silva Abade","Independent","N.a.","1999","2006","7","Sporting Clube de Portugal","CF",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"54","Agostinho Silva Abade","Independent","N.a.","2006","2011","5","Sporting Clube de Portugal","Presidente do CF",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"55","Agostinho Silva Abade","Independent","N.a.","2011","2014","3","Sporting Clube de Portugal","Conselho Leonino",0,0,"N.a.","N.a.",0,"M","No",0,1,"No","No",1
"56","Agostinho Branquinho","PSD","N.a.","N.d.","N.d.","N.a.","FLUP","licenciatura em História",0,0,"História","Porto",0,"M","No",0,0,"No","No",1
"57","Agostinho Branquinho","PSD","N.a.","1983","1985","2","Assembleia da República","deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"58","Agostinho Branquinho","PSD","N.a.","N.d.","N.d.","N.a.","ISMAI","professor universitário",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"59","Agostinho Branquinho","PSD","N.a.","N.d.","N.d.","N.a.","Associação Empresarial de Portugal","assessor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"60","Agostinho Branquinho","PSD","N.a.","1993","1995","2","Santa Casa da Misericórdia","secretário-geral",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"61","Agostinho Branquinho","PSD","N.a.","1993","1995","2","Hospital da Prelada","administrador não-executivo",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"62","Agostinho Branquinho","PSD","N.a.","2005","2009","4","Assembleia da República","deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"63","Agostinho Branquinho","PSD","N.a.","2010","2012","2","Ongoing","administrador",7,0,"N.a.","N.a.",0,"M","No",0,1,"No","No",1
"64","Agostinho Branquinho","PSD","N.a.","2012","2013","1","Santa Casa da Misericórdia","administrador",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"65","Agostinho Branquinho","PSD","PSD/CDS","2013","2014","1","Governo","Secretário de Estado da Solidariedade e Segurança Social",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","XIX",1
"66","Alberto António Justiniano","AD","N.a.","N.d.","N.d.","N.a.","CUF","Quadro",3,0,"N.a.","N.a.",0,"M","Mello",1,0,"No","No",1
"67","Alberto António Justiniano","AD","AD","1981","1981","1","Governo","Secretário de Estado da Indústria",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","VII",1
"68","Alberto António Justiniano","AD","AD","1981","1983","2","Governo","Secretário de Estado da Indústria",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","VIII",1
"69","Alberto António Justiniano","AD","N.a.","1986","1991","5","ICEP","CA não-executivo",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"70","Alberto António Justiniano","AD","N.a.","1991","1992","1","Quimigal","CA",3,0,"N.a.","N.a.",0,"M","Mello",1,0,"No","No",1
"71","Alberto António Justiniano","AD","N.a.","1995","1997","2","Petroleos de Portugal - Petrogal, S.A.","CA",4,0,"N.a.","N.a.",1,"M","No",0,0,"No","No",1
"72","Alberto António Justiniano","AD","N.a.","1999","2000","1","CUF","CA",3,0,"N.a.","N.a.",0,"M","Mello",1,0,"No","No",1
"73","Alberto António Justiniano","AD","N.a.","N.d.","N.d.","N.a.","FISIPE","Comissão de Vencimentos",3,0,"N.a.","N.a.",0,"M","Mello",1,0,"No","No",1
"74","Alberto Costa","PS","N.a.","N.d.","N.d.","N.a.","Faculdade de Direito da Universidade de Lisboa","licenciatura em Direito",0,0,"Direito","Lisboa",0,"M","No",0,0,"No","No",1
"75","Alberto Costa","PS","N.a.","1976","1986","10","Faculdade de Direito da Universidade de Lisboa","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"76","Alberto Costa","PS","N.a.","1976","1986","10","Instituto Superior de Economia","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"77","Alberto Costa","PS","N.a.","1991","2011","20","Assembleia da República","Deputado",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"78","Alberto Costa","PS","PS","1995","1997","2","Governo","Ministro da Administração Interna",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","XIII",1
"79","Alberto Costa","PS","N.a.","1997","1998","1","Petroleos de Portugal - Petrogal, S.A.","CA",4,0,"N.a.","N.a.",1,"M","No",0,0,"No","No",1
"80","Alberto Costa","PS","PS","2005","2009","4","Governo","Ministro da Justiça",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","XVII",1
"81","Alberto Amorim Pereira","PSD","N.a.","1971","1976","5","Faculdade de Direito da Universidade de Coimbra","Estudante",0,0,"Direito","Coimbra",0,"M","No",0,0,"No","No",1
"82","Alberto Amorim Pereira","PSD","N.a.","1976","1978","2","Faculdade de Economia da Universidade de Coimbra","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"83","Alberto Amorim Pereira","PSD","N.a.","1978","1990","12","Faculdade de Economia da Universidade do Porto","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"84","Alberto Amorim Pereira","PSD","N.a.","N.d.","N.d.","N.a.","Sottoleasing","Presidente do CF",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"85","Alberto Amorim Pereira","PSD","N.a.","1978","1980","2","CCDR-N","Jurista Consultor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"86","Alberto Amorim Pereira","PSD","Central Block","1983","1985","2","Governo","Subsecretário de Estado do Orçamento",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","IX",1
"87","Alberto Amorim Pereira","PSD","N.a.","1988","1991","3","Unicer","CA",3,0,"N.a.","N.a.",1,"M","No",0,0,"No","No",1
"88","Alberto Amorim Pereira","PSD","N.a.","1990","1992","2","AEP","Vice-Presidente",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"89","Alberto Amorim Pereira","PSD","N.a.","N.d.","N.d.","N.a.","APDL - Portos do Douro e Leixões","Presidente do CF",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"90","Alberto Amorim Pereira","PSD","N.a.","N.d.","N.d.","N.a.","InovCapital – Sociedade de Capital de Risco, S.A.","Presidente da AG",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"91","Alberto Amorim Pereira","PSD","N.a.","1990","2000","10","Instituto de Estudos Superiores Financeiros e Fiscais","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"92","Alberto Amorim Pereira","PSD","N.a.","1990","1996","6","Universidade Portucalense","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"93","Alberto Amorim Pereira","PSD","N.a.","1995","1999","4","Banco Totta & Açores","Quadro",1,0,"N.a.","N.a.",1,"M","Champ",0,1,"No","No",1
"94","Alberto Amorim Pereira","PSD","N.a.","1996","1996","1","PSD","Vice-Presidente",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"95","Alberto Amorim Pereira","PSD","N.a.","1996","2003","7","Crédito Predial Português","Quadro",1,0,"N.a.","N.a.",1,"M","Champ/Santander",0,1,"No","No",1
"96","Alberto Amorim Pereira","PSD","PSD","1997","2001","4","Câmara Municipal do Porto","Vereador",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"97","Alberto Amorim Pereira","PSD","N.a.","1999","2003","4","Banco Totta & Açores","Quadro",1,0,"N.a.","N.a.",1,"M","Santander",0,1,"No","No",1
"98","Alberto Amorim Pereira","PSD","N.a.","2000","2007","7","Metro do Porto","CA",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"99","Alberto Amorim Pereira","PSD","N.a.","2002","2004","2","Crédito Predial Português","Vice-Presidente da AG",1,0,"N.a.","N.a.",1,"M","Santander",0,1,"No","No",1
"100","Alberto Amorim Pereira","PSD","N.a.","2002","2004","2","My Portfolio – Sociedade Gestora de Patrimónios, S.A.","Presidente da AG",5,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"101","Alberto Amorim Pereira","PSD","N.a.","2004","2007","3","Gaiurb","Presidente do CA",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"102","Alberto Amorim Pereira","PSD","N.a.","2004","2006","2","Santander Totta","Vice-Presidente da AG",1,0,"N.a.","N.a.",0,"M","Santander",0,1,"No","No",1
"103","Alberto Amorim Pereira","PSD","N.a.","2004","2006","2","Banco Totta & Açores","Vice-Presidente da AG",1,0,"N.a.","N.a.",1,"M","Santander",0,1,"No","No",1
"104","Alberto Amorim Pereira","PSD","N.a.","2009","2010","1","Universidade Fernando Pessoa","Professor",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"105","Alberto Amorim Pereira","PSD","N.a.","2009","2014","5","Gaiurb","Presidente do CA",0,0,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"106","Alberto Nascimento Regueira","AD","N.a.","N.d.","1961","N.a.","Instituto Superior de Economia e Gestão","ND",0,1,"Economia","Lisboa",0,"M","No",0,0,"No","No",1
"107","Alberto Nascimento Regueira","AD","N.a.","1963","1969","6","Presidência do Conselho","Secretariado Técnico",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"108","Alberto Nascimento Regueira","AD","N.a.","1970","1974","4","Secretaria de Estado do Comércio","Director do Gabinete de Planeamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"109","Alberto Nascimento Regueira","AD","N.a.","1974","1977","3","Governo","Director Geral do Comércio Externo",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"110","Alberto Nascimento Regueira","AD","N.a.","1978","1979","1","CIP","Director de Estudos Económicos",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"111","Alberto Nascimento Regueira","AD","N.a.","1979","1980","1","COSEC","Presidente",2,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"112","Alberto Nascimento Regueira","AD","N.a.","1980","N.d.","N.a.","Ministério do Comércio e Turismo","Assessor",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"113","Alberto Nascimento Regueira","AD","AD","1980","1981","1","Governo","Secretário de Estado do Turismo",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","VI",1
"114","Alberto Nascimento Regueira","AD","AD","1981","1981","1","Governo","Secretário de Estado do Planeamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","VII",1
"115","Alberto Nascimento Regueira","AD","AD","1981","1983","2","Governo","Secretário de Estado do Planeamento",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","VIII",1
"116","Alberto Nascimento Regueira","AD","N.a.","1983","1993","10","COSEC","Presidente",2,1,"N.a.","N.a.",0,"M","BPI",0,0,"BPI","No",1
"117","Alberto Nascimento Regueira","AD","N.a.","1987","1991","4","ICEP","CA",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"118","Alberto Nascimento Regueira","AD","N.a.","1990","1992","2","BFE","Presidente da AG",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"119","Alberto Nascimento Regueira","AD","N.a.","1991","1993","2","ICEP","Conselho Geral",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"120","Alberto Nascimento Regueira","AD","N.a.","1992","1993","1","BFE","CA",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"121","Alberto Nascimento Regueira","AD","N.a.","1993","1995","2","BBI","CA",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"122","Alberto Nascimento Regueira","AD","N.a.","1995","1996","1","Eurovalor","Presidente",5,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"123","Alberto Nascimento Regueira","AD","N.a.","1995","1996","1","BPI BFE Patrimónios","Presidente",5,1,"N.a.","N.a.",0,"M","BPI",0,1,"BPI","No",1
"124","Alberto Nascimento Regueira","AD","N.a.","2000","2014","14","TDN - Turismo da Natureza, S.A.","Presidente do CF",5,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"125","Alberto Nascimento Regueira","AD","N.a.","2010","2010","1","Montepio Geral","Candidato a presidente derrotado",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"126","Alberto Nascimento Regueira","AD","N.a.","1993","2009","16","Finangeste","Presidente do CA",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"127","Alberto Nascimento Regueira","AD","N.a.","N.d.","2014","N.a.","DECO","Vice-Presidente da Direcção",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"128","Alberto Nascimento Regueira","AD","N.a.","N.d.","2014","N.a.","Conselho Económico e Social","Representante",0,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"129","Alberto Santos Ramalheira","PS","N.a.","N.d.","1960","N.a.","Instituto Superior de Ciências Económicas e Financeiras","Estudante",0,1,"Finanças","Lisboa",0,"M","No",0,0,"No","No",1
"130","Alberto Santos Ramalheira","PS","N.a.","1970","1972","2","Instituto de Crédito de Angola","Director Técnico",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"131","Alberto Santos Ramalheira","PS","N.a.","1972","1974","2","Instituto de Crédito de Angola","Administrador",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
"132","Alberto Santos Ramalheira","PS","N.a.","1975","1989","14","Banco de Portugal","CA",1,1,"N.a.","N.a.",0,"M","No",0,0,"No","No",1
